"Qty";"Reference";"Value";"Footprint";"Datasheet";"DNP";"MPN";"Status"
"1";"C5";"10uC";"Capacitor_SMD:C_1206_3216Metric";"https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL31B106KOHNNNE_C47971.pdf";"";"CL31B106KOHNNNE";"OK"
"6";"C1,C2,C3,C4,C7,C9";"100nC";"Capacitor_SMD:C_0805_2012Metric";"https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_KEMET-C0805F104K5RACAUTO_C141162.pdf";"";"C0805F104K5RACAUTO";"OK"
"1";"J1";"RS232";"Connector_Dsub:DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm";"https://www.lcsc.com/datasheet/lcsc_datasheet_2106062137_FOXCONN-DT10121-M5W3-4F_C2760978.pdf";"";"DT10121-M5W3-4F";"OK"
"1";"J2";"Digital";"Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical";"https://www.lcsc.com/datasheet/lcsc_datasheet_2306091005_HCTL-PM254-1-02-Z-8-5_C2897365.pdf";"";"PM254-1-02-Z-8.5";"OK"
"1";"J3";"Wire RS485";"Connector_IDC:IDC-Header_2x03_P2.54mm_Vertical";"https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_XFCN-I254-2-3-G-3-B_C509254.pdf";"DNP";" I254-2*3-G-3-B";"OK"
"1";"J4";"Digital";"Connector_PinSocket_2.54mm:PinSocket_2x04_P2.54mm_Vertical";"https://www.lcsc.com/datasheet/lcsc_datasheet_2306091006_HCTL-PM254-2-04-Z-8-5_C2897405.pdf";"";"PM254-2-04-Z-8.5";"OK"
"1";"J7";"RS485";"Connector_IDC:IDC-Header_2x03_P2.54mm_Vertical";"https://www.lcsc.com/datasheet/lcsc_datasheet_2303141000_HCTL-HC-JN254-2-03-Z_C5372863.pdf";"";"HC-JN254-2-03-Z";"OK"
"2";"J5,J6";"-- mixed values --";"Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical";"https://www.lcsc.com/datasheet/lcsc_datasheet_2403051744_HCTL-PZ254-1-08-Z-8-5_C2894931.pdf";"";"PZ254-1-08-Z-8.5";"OK"
"2";"L1,L2";"10uL";"Inductor_SMD:L_0805_2012Metric";"https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Murata-Electronics-LQM21FN100M80L_C162582.pdf";"";"LQM21FN100M80L";"OK"
"2";"R1,R2";"10kR";"Resistor_SMD:R_0805_2012Metric";"https://www.lcsc.com/datasheet/lcsc_datasheet_1810171610_YAGEO-RC0805JR-0710KL_C100047.pdf";"";"RC0805JR-0710KL";"OK"
"1";"U1";"SP213";"Package_SO:SSOP-28_5.3x10.2mm_P0.65mm";"https://www.lcsc.com/datasheet/lcsc_datasheet_1912111437_MaxLinear-SP213EEA-L-TR_C415725.pdf";"";"SP213EEA-L/TR";"OK"
"1";"U3";"ST485E";"Package_SO:SOIC-8_3.9x4.9mm_P1.27mm";"https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_STMicroelectronics-ST485EBDR_C81186.pdf";"";"ST485EBDR";"OK"
