Designator,Mid X,Mid Y,Rotation,Layer
C1,38.0,33.2,180.0,top
C10,24.0,25.2,180.0,top
C11,38.0,30.2,180.0,top
C12,63.25,12.0,-90.0,bottom
C13,53.0,30.2,180.0,top
C14,23.0,30.2,180.0,top
C15,38.0,43.2,180.0,top
C16,53.0,43.2,180.0,top
C17,63.5,21.95,180.0,top
C18,23.0,43.2,180.0,top
C19,59.0,47.5,0.0,top
C2,48.5,21.95,180.0,top
C20,44.0,47.75,0.0,top
C21,29.0,47.75,0.0,top
C22,13.0,31.0,0.0,top
C23,3.75,49.5,180.0,top
C29,52.75,10.0,0.0,bottom
C3,39.0,25.2,180.0,top
C30,33.25,12.0375,-90.0,bottom
C35,33.5,21.95,180.0,top
C37,22.75,10.0,0.0,bottom
C4,53.0,33.2,180.0,top
C5,13.0,26.25,180.0,top
C6,54.0,25.2,180.0,top
C7,23.0,33.2,180.0,top
C8,37.75,10.0,0.0,bottom
C9,48.25,12.0,-90.0,bottom
D1,4.5,31.0,90.0,top
D2,4.5,24.0,90.0,top
D6,4.5,38.0,90.0,top
D8,4.5,17.0,90.0,top
J1,27.94,2.54,90.0,top
J10,60.5,7.0,90.0,top
J11,56.1,9.0,-90.0,top
J12,30.5,7.0,90.0,top
J13,26.05,9.0,-90.0,top
J14,27.0,18.2,90.0,top
J2,18.796,50.8,90.0,top
J3,50.8,2.54,90.0,top
J4,45.72,50.8,90.0,top
J5,42.0,18.2,90.0,top
J6,10.7,7.6075,0.0,top
J7,41.05,9.0,-90.0,top
J8,45.45,7.0,90.0,top
J9,57.0,18.2,90.0,top
R1,44.75,25.2,90.0,top
R10,13.0,36.5,180.0,bottom
R11,37.75,8.0,180.0,bottom
R12,46.25,12.0,90.0,bottom
R13,61.25,12.0,90.0,bottom
R14,52.75,8.0,180.0,bottom
R15,31.25,12.0375,90.0,bottom
R16,22.75,8.0,180.0,bottom
R17,37.75,6.0,0.0,bottom
R18,44.25,12.0,-90.0,bottom
R19,13.0,34.5,180.0,bottom
R2,38.0,45.2,0.0,top
R20,10.0,23.75,180.0,bottom
R21,10.0,25.75,180.0,bottom
R22,10.0,27.75,180.0,bottom
R23,59.25,12.0,-90.0,bottom
R24,52.75,6.0,0.0,bottom
R25,29.25,12.0375,-90.0,bottom
R26,22.75,6.0,0.0,bottom
R27,10.0,29.75,180.0,bottom
R28,11.5,45.25,-90.0,top
R29,8.25,49.5,0.0,top
R3,38.0,41.2,180.0,top
R30,29.75,25.2,90.0,top
R4,53.0,45.2,0.0,top
R5,53.0,41.2,180.0,top
R6,59.75,25.2,90.0,top
R7,23.0,45.2,0.0,top
R8,23.0,41.2,180.0,top
R9,13.0,38.5,180.0,bottom
U1,43.0,37.2,-90.0,top
U10,13.0,20.5,0.0,top
U11,13.0,36.5,180.0,top
U12,6.0,45.5,0.0,top
U2,48.25,25.2,-90.0,top
U3,58.0,37.2,-90.0,top
U4,28.0,37.2,-90.0,top
U5,63.25,25.2,-90.0,top
U6,44.0,44.8,180.0,top
U7,33.25,25.2,-90.0,top
U8,59.0,44.6,180.0,top
U9,29.0,44.8,180.0,top
