Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,0.1uC,CL21B104KBCNNNC
C3,CP_Radial_D8.0mm_P3.50mm,1,220uC,25YXF220MEFC8X11.5
D1,D_SMA,1,SMAJ16CA,SMAJ16CA-13-F
D2,D_SOD-123,1,MMSZ5240BT1G,MMSZ5240BT1G
D3,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,LED,17-21SYGC/S530-E3/TR8
F1,Fuseholder_Cylinder-5x20mm_Stelvio-Kontek_PTF78_Horizontal_Open,1,Fuse,PTF-77
FB1,L_1806_4516Metric,1,FerriteBead,BLM41PG600SN1L
J1,BarrelJack_DC-042C-W-2.5_Horizontal,1,Barrel_Jack_Switch,DC-042C-W-2.5
"J2, J3, J4, J5",HC-2510-2A,4,12V PWR,HC-2510-2A
Q1,SOIC-8_3.9x4.9mm_P1.27mm,1,DMP3037LSS-13,DMP3037LSS-13
R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,10kR,RC0805FR-0710KL
R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,1kR,AC0805FR-7W1KL
"SW1, SW2",SW_Push_2P2T_Toggle_Generic_5_8_x_5_8,2,SW_Push_DPDT,PB22E60L
